ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@0@60@0@@0
120A0030063@CARDIOASPIRINA RETARD 81mg TABLETA | CAJA X 30. BAYER@ACIDO ACETIL SALICILICO@75@30@120@@0
150A0310196@VITAMINA C  500mg TABLETA | CAJA X 250. ECAR@ACIDO ASCORBICO@1188@277@2100@@47365
1125A1930002@FENOVAS 10mg/135mg CAPSULA | CAJA X 30. PROCAPS@ACIDO FENOFIBRICO/ROSUVAST@15@30@0@@0
1125A1930001@FENOVAS 20mg/135mg CAPSULA | CAJA X 30. PROCAPS@ACIDO FENOFIBRICO/ROSUVAST@120@0@240@@0
1156A1930001@STAFEN 10/135mg TABLETA | CAJA X 30. LAFRANCOL@ACIDO FENOFIBRICO/ROSUVAST@30@120@0@@60
150F0142039@ACIDO FOLICO 5mg TABLETA | CAJA X 100. ECAR@ACIDO FOLICO@666@935@398@@15351
150F0142041@ACIDO FOLICO 1mg TABLETA | CAJA X 600. ECAR@ACIDO FOLICO@3166@2880@3453@@94950
199F0142038@ACIDO FOLICO 1mg TABLETA | CAJA X 300. LAPROFF@ACIDO FOLICO@1199@31@2368@@39800
168A336930668@ACIDO FUSIDICO 2% CREMA | TUBO X 15G. GEN-FAR S.A@ACIDO FUSIDICO@55@74@37@@1
166I0212570@IBANAT 150mg TABLETA | CAJA X 1. GARMISCH@ACIDO IBANDRONICO@2@36@0@@0
1172I0210001@MELIBA 150mg TABLETA | CAJA X 1. ZAMBON@ACIDO IBANDRONICO@92@51@133@@0
1145A1600637@ACRYLARM OFTALMICA 0.25% GEL | TUBO X 10G. SCANDINAVIA@ACIDO POLIACRILICO@63@9@117@@0
1145A0860462@BETARRETIN H 4+0.05% CREMA | TUBO X 30GR. SCANDINAVIA@ACIDO RETINOICO+HIDROQUINONA@3@3@3@@0
1429A0910001@LIPOTIC 600mg TABLETA | CAJA X 30. DIABETRICS HEALTHACARE SAS@ACIDO TIOCTICO@585@300@870@@90
165A0970486@CETAPHIL ADVANCED MOISTURIZER LOCION ULTRA HUMECTANTE 226g LOCION | CAJA X 1. GALDERMA@ACRILATOS+GLICEROL+VITAMINA E@2@0@4@@0
165A1000495@DIFFERIN 0.1% GEL | TUBO X 30GR. GALDERMA@ADAPALENE@0@1@0@@0
145A0070116@AGUA ESTERIL 10ml SOLUCION INYECTABLE | CAJA X 50. CORPAUL@AGUA ESTERIL@0@10@0@@0
188A0070516@AGUA OXIGENADA  C X 72 JGB  50%8g SOLUCION TOPICA | FRASCO X 120ml. J.G.B@AGUA OXIGENADA@0@4@0@@0
127A0080122@FINAPAR 200mg TABLETA | CAJA X 50. BIOQUIFAR@ALBENDAZOL@555@462@648@@8179
127A0080123@FINAPAR SACHET 20mg/mlx20ml SUSPENSION ORAL | CAJA X 50. BIOQUIFAR@ALBENDAZOL@48@82@15@@872
192A1670001@ALENDRONATO 70mg TABLETA | CAJA X 4. LA SANTE@ALENDRONATO SODICO@1003@592@1414@@0
130A0110002@ALDOMET 250mg TABLETA | CAJA X 30. ASPEN@ALFAMETILDOPA@180@0@360@@180
130A0110001@ALDOMET 500mg TABLETA | CAJA X 30. ASPEN@ALFAMETILDOPA@0@60@0@@0
1144A1120524@XATRAL OD RETARD 10mg TABLETA | CAJA X 30. SANOFI-AVENTIS@ALFUZOSINA@15@30@0@@0
198A0130150@ALOPURINOL 100mg TABLETA | CAJA X 100. LAFRANCOL@ALOPURINOL@1020@1357@683@@0
1108A0130153@ALOPURINOL 300mg TABLETA | CAJA X 30. MEMPHIS@ALOPURINOL@525@305@745@@1140
154A0140160@ALPRAZOLAM 0.25mg TABLETA | CAJA X 30. EXPOFARMA@ALPRAZOLAM@1195@600@1790@@0
168A0140002@ALPRAZOLAM 0.25mg TABLETA | CAJA X 30. GEN-FAR S.A@ALPRAZOLAM@100@380@0@@50
168A0140001@ALPRAZOLAM 0.5mg TABLETA | CAJA X 30. GEN-FAR S.A@ALPRAZOLAM@1680@1360@2000@@0
1168A0160174@ACETATO DE ALUMINIO SOBRES ph4.2mg POLVO TOPICO | CAJA X 25. GEN-FAR S.A@ALUMINIO ACETATO@64@16@113@@0
1104A0160173@ACETATO DE ALUMINIO 0.059% LOCION | FRASCO X 120ml. LICOL@ALUMINIO ACETATO@178@221@135@@1
1173A0180185@ACIBIOGEL+SIMETICONA 200+200+20mg/5ml SUSPENSION ORAL | FRASCO X 360ml. GRUNENTHAL@ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA@344@192@497@@0
1115A0190189@ZINTERGIA 100mg CAPSULA | CAJA X 300. NOVAMED@AMANTADINA@60@180@0@@1020
171A1450001@VOLIBRIS 5mg TABLETA | FRASCO X 30. GLAXO@AMBRISENTAN@0@30@0@@0
198A1450001@BEVERIX 5mg TABLETA | CAJA X 30. LAFRANCOL@AMBRISENTAN@75@0@150@@0
199A1150535@AMBROXOL JARABE 15mg/5ml SOLUCION ORAL | FRASCO X 120ML. LAPROFF@AMBROXOL CLORHIDRATO@1@19@0@@0
199A1150536@AMBROXOL JARABE 30mg/5ml SOLUCION ORAL | FRASCO X 120ML. LAPROFF@AMBROXOL CLORHIDRATO@62@21@103@@909
1168A0230001@AMIODARONA  200mg TABLETA | CAJA X 10. GEN-FAR S.A@AMIODARONA CLORHIDRATO@75@0@150@@0
192A0230211@AMIODARONA 200mg TABLETA | CAJA X 10. LA SANTE@AMIODARONA CLORHIDRATO@0@300@0@@0
1158A0230001@AMIODARONA MK 200mg TABLETA | CAJA X 10. TECNOQUIMICAS@AMIODARONA CLORHIDRATO@112@0@225@@0
1168A0240223@AMITRIPTILINA 25mg TABLETA | CAJA X 300. GEN-FAR S.A@AMITRIPTILINA CLORHIDRATO@1650@1101@2199@@37
198A0400316@AMDIPIN 10mg TABLETA | CAJA X 10. LAFRANCOL@AMLODIPINO@15@0@30@@0
168A0400314@AMLODIPINO 5mg TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@1807@2223@1392@@300
168A0400313@AMLODIPINO 10mg TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@315@354@276@@0
1125A1820001@VARTERAL  10mg+160mg CAPSULA | CAJA X 14. PROCAPS@AMLODIPINO+VALSARTAN@14@42@0@@392
1116A1864703@EXFORGE HCT 10mg/320mg/25mg TABLETA | CAJA X 28. NOVARTIS@AMLODIPINO+VALSARTAN+HIDROCLOR@84@0@168@@0
165A1230553@LOCERYL LACA UNAS 5gr SOLUCION TOPICA | FRASCO X 2,5ML. GALDERMA@AMOROLFINA@1@1@1@@0
192A0250002@AMOXICILINA 250mg/5ml SUSPENSION ORAL | FRASCO X 100ML. LA SANTE@AMOXICILINA@10@1@19@@9
192A0250004@AMOXICILINA 500mg TABLETA O CAPSULA | CAJA X 200. LA SANTE@AMOXICILINA@684@251@1118@@0
1145A0250240@AMOXIDAL DUO 750mg SUSPENSION ORAL | FRASCO X 70ML. SCANDINAVIA@AMOXICILINA@0@0@1@@0
168A0250230@AMOXICILINA 250mg SUSPENSION ORAL | FRASCO X 100ML. GEN-FAR S.A@AMOXICILINA@0@5@0@@0
117A0250001@AMOXICILINA 500mg TABLETA O CAPSULA | CAJA X 100. B.C.N MEDICAL@AMOXICILINA@2312@1674@2950@@68300
1116A1260561@CURAM 500mg/125mg TABLETA | CAJA X 12. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@25@0@51@@5
1SA1A1240001@CURAM  500+125mg TABLETA | CAJA X 12. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@14@32@0@@0
1116A1260566@CURAM JUNIOR 400+57mg/5ml SUSPENSION ORAL | FRASCO X 70ML. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@0@5@0@@0
192A0260260@AMPICILINA  500mg CAPSULA | CAJA X 200. LA SANTE@AMPICILINA@66@56@76@@2
127A0280263@BACMICINE 250mg/5ml SUSPENSION ORAL | FRASCO X 100mL. BIOQUIFAR@AMPICILINA+SULBACTAM@0@4@0@@263
192A0280267@SULTAMICILINA 375mg TABLETA | CAJA X 10. LA SANTE@AMPICILINA+SULBACTAM@286@317@256@@230
135A1320002@ELIQUIS 5mg TABLETA | CAJA X 60. PFIZER@APIXABAN@630@0@1260@@300
135A1320001@ELIQUIS 2.5mg TABLETA | CAJA X 60. PFIZER@APIXABAN@150@120@180@@180
1145A1300571@ILIMIT 15mg TABLETA | CAJA X 30. SCANDINAVIA@ARIPIPRAZOL@315@345@285@@240
1312A0380002@HIVATAX 300mg CAPSULA | CAJA X 30. SALUSPHARMA S.A.S.@ATAZANAVIR@405@390@420@@0
1312A0380001@HIVATAX 200mg CAPSULA | CAJA X 60. SALUSPHARMA S.A.S.@ATAZANAVIR@30@180@0@@0
114A0960481@TENORMIN 50mg TABLETA | CAJA X 14. ASTRA ZENECA@ATENOLOL@14@0@28@@0
1168A0960015@ATENOLOL  100mg TABLETA | CAJA X 20. GEN-FAR S.A@ATENOLOL@30@70@0@@0
168A1340586@ATORVASTATINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A@ATORVASTATINA@105@130@80@@60
150A1340002@ATORVASTATINA 40mg TABLETA | CAJA X 500. ECAR@ATORVASTATINA@3250@5366@1135@@402800
150A1340003@ATORVASTATINA 20mg TABLETA | CAJA X 1000. ECAR@ATORVASTATINA@197@0@395@@84990
1203A1340001@ATORVAT 20mg TABLETA | CAJA X 300. DUMIAN MEDICAL S.A.S@ATORVASTATINA@4785@360@9210@@1216
14A0330287@ISOPTO ATROPINA 1% SOLUCION OFTALMICAS | FRASCO X 5mL. ALCON@ATROPINA SULFATO@0@4@0@@13
1N002A0340001@AZATIOPRINA 50mg TABLETA | CAJA X 100. NEXT PHARMA SOURCING S.A.S.@AZATIOPRINA@1425@1028@1822@@0
168A1410626@AZITROMICINA 500mg TABLETA | CAJA X 3. GEN-FAR S.A@AZITROMICINA@222@0@444@@0
142A1410625@AZITROMICINA 200mg/5ml SUSPENSION ORAL | FRASCO X 15ML. COASPHARMA@AZITROMICINA@0@3@0@@0
192A1410001@AZITROMICINA 500mg TABLETA | CAJA X 3. LA SANTE@AZITROMICINA@80@140@20@@6
168A1410627@AZITROMICINA 200mg/5ml SUSPENSION ORAL | FRASCO X 15ML. GEN-FAR S.A@AZITROMICINA@0@2@0@@0
1T004A1420001@DISTENTIA 10mg TABLETA | CAJA X 50. THE LABS SAS@BACLOFENO@645@390@900@@0
140B0020680@NABUMEX BUCAL 50mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. CHALVER@BECLOMETASONA DIPROPIONATO@12@20@4@@0
140B0020681@NABUMEX BUCAL 250mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. CHALVER@BECLOMETASONA DIPROPIONATO@53@53@53@@0
1990B0020001@BECLONOSE INH NASAL 50mcg SUSPENSION PARA INHALAR | FRASCO X 22ml. SALUSPHARMA S.A.S.@BECLOMETASONA DIPROPIONATO@74@28@120@@0
118B0620001@BUTIMERIN SPRAY 25+25+250mg SOLUCION TOPICA | FRASCO X 120mL. BAGO@BENCETONIO CL +  CLOROCRESOL +@1@0@2@@0
1158B0030001@BENZOATO DE BENCILO 30% LOCION | FRASCO X 120ML. TECNOQUIMICAS@BENCILO BENZOATO@4@1@7@@1
192B0220001@BETAHISTINA 16mg TABLETA | CAJA X 20. LA SANTE@BETAHISTINA@425@386@464@@30
1168B0220759@BETAHISTINA 8mg TABLETA | CAJA X 50. GEN-FAR S.A@BETAHISTINA@2604@11@5198@@0
1273B0050001@BETAMETASONA 4m/1ml SOLUCION INYECTABLE | CAJA X 100. SICMAFARMA@BETAMETASONA@6@32@0@@3300
1125B0050702@BETAMETASONA 8mg/2ml SOLUCION INYECTABLE | CAJA X 100. PROCAPS@BETAMETASONA@0@9@0@@6
1163B0040020@BETAMETASONA 4mg/1ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@BETAMETASONA@0@0@1@@0
198B0240765@BETAMETASONA  0.05% CREMA | TUBO X 20GR. LAFRANCOL@BETAMETASONA@205@91@320@@4
168B0040693@BETAMETASONA 0.1% CREMA | TUBO X 40GR. GEN-FAR S.A@BETAMETASONA@42@45@39@@0
154B0070714@EXPOMETIL 0.1mg TABLETA | CAJA X 20. EXPOFARMA@BETAMETILDIGOXINA@21@46@0@@800
154B0070713@ADS MYORITMO GOTAS 0.60mg/ml SOLUCION ORAL | FRASCO X 10mL. EXPOFARMA@BETAMETILDIGOXINA@0@2@0@@0
1149B0070002@ADS-MYORITMO 0.1mg TABLETA | CAJA X 20. ADS PHARMA@BETAMETILDIGOXINA@61@100@23@@10
1149B0070003@ADS MYORITMO GOTAS 0.60mg SOLUCION ORAL | FRASCO X 10ml. ADS PHARMA@BETAMETILDIGOXINA@0@3@0@@0
1309-B0660002@BILAXTEN 20mg TABLETA | CAJA X 30. FAES FARMA@BILASTINA@45@30@60@@180
16B0360787@LUMIGAN 0.3% SOLUCION OFTALMICAS | FRASCO X 3mL. ALLERGAN@BIMATOPROST@3@4@3@@53
16B0440812@LUMIGAN RC 0.01% SOLUCION OFTALMICAS | FRASCO X 3mL. ALLERGAN@BIMATOPROST@2@3@2@@17
1158B0080722@BIPERIDENO 2mg TABLETA | CAJA X 300. TECNOQUIMICAS@BIPERIDENO@885@1170@600@@10800
180B0100726@BISACODILO RETARD 5mg TABLETA | CAJA X 100. HUMAX@BISACODILO@3258@2706@3811@@103290
1109B0380792@CONCOR 10mg TABLETA | CAJA X 30. MERCK@BISOPROLOL@30@0@60@@0
168B0380001@BISOPROLOL 5mg TABLETA | CAJA X 30. GEN-FAR S.A@BISOPROLOL@585@360@810@@0
168B0380002@BISOPROLOL 2.5mg TABLETA | CAJA X 30. GEN-FAR S.A@BISOPROLOL@525@585@465@@60
1109B0380793@CONCORD 1.25mg TABLETA | CAJA X 30. MERCK@BISOPROLOL@30@30@30@@0
1145P0763822@UMBRELLA 50+ SPF 30 CREMA | TUBO X 60g. SCANDINAVIA@BLOQUEADOR SOLAR@0@1@0@@0
1161D072A1659@NOVATRIX PROTECTOR CUTANEO 50g CREMA | CAJA X 1. VARIOS E IMPORTADOS@BLOQUEADOR SOLAR@1@0@2@@0
1151B0440812@AGGLAD OFTENO 2mg/ml SOLUCION OFTALMICAS | FRASCO X 5ml. SOPHIA@BRIMONIDINA@12@12@13@@3408
1158B0450001@BRIMOLOLL 0.2+0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. TECNOQUIMICAS@BRIMONIDINA + TIMOLOL@24@22@27@@1430
14B0460814@AZOPT 1% SOLUCION OFTALMICAS | FRASCO X 5mL. NOVARTIS@BRINZOLAMIDA@1@2@0@@0
1168B0470816@BROMAZEPAM 6mg TABLETA | CAJA X 10. GEN-FAR S.A@BROMAZEPAM@210@200@220@@0
140B0120001@BROMOCRIPTINA 2.5mg TABLETA | CAJA X 240. CHALVER@BROMOCRIPTINA@154@220@89@@0
1116B0730001@SEEBRI BREEZHALER 50mcg CAPSULA | CAJA X 30. NOVARTIS@BROMURO DE GLICOPIRRONIO@90@60@120@@0
132B0510825@BERODUAL 0.25+0.5mg/ml SOLUCION PARA INHALACION | FRASCO X 20ml. BOEHRINGER@BROMURO DE IPRATROPIO+FENOTEROL@2@0@5@@1
132T0644494@SPIRIVA RESPIMAT 2.5mcg(.005mg) SOLUCION PARA INHALACION | FRASCO X 4ml. BOEHRINGER@BROMURO DE TIOTROPIO@4@2@7@@147
130T0644489@TEROMAR ROTACAPS (REVOLIZER)  18mcg CAPSULA | CAJA X 30. BIOTOSCANA@BROMURO DE TIOTROPIO@4@1@7@@87
140B0550001@INFLABON BUCAL 50mcg SOLUCION PARA INHALACION | FRASCO X 200dosis. CHALVER@BUDESONIDA@0@1@0@@0
130B0540024@BUDEMAR BUCAL 100mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. BIOTOSCANA@BUDESONIDA@1@4@0@@112
173B0540839@B-CORT AEROSOL 200mcgbucal SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GRUNENTHAL@BUDESONIDA@3@1@6@@0
114B0390802@SYMBICORT RAPIHALER PEDIATRICO 80/4.5mcg SUSPENSION PARA INHALAR | CAJA X 1. ASTRA ZENECA@BUDESONIDA + FORMOTEROL@0@2@0@@0
114B0390797@SYMBICORT TURBUHALER ADULTO 320/9ug SUSPENSION PARA INHALAR | FRASCO X 60 DOSIS. ASTRA ZENECA@BUDESONIDA + FORMOTEROL@7@0@14@@0
140B0390001@BUSTEROL INHALADOR 160+4.5mg SUSPENSION PARA INHALAR | CAJA X 1. CHALVER@BUDESONIDA + FORMOTEROL@3@2@4@@0
1115B0390799@AEROVIAL CON INHALADOR 200mcg+6mcg CAPSULA | CAJA X 1. NOVAMED@BUDESONIDA + FORMOTEROL@5@8@2@@206
1G003B0390001@COMPLEBREZ 6mcg/200mcg SUSPENSION PARA INHALAR | FRASCO X 150dosis. GLENMARK PHARMACEUTICALS@BUDESONIDA + FORMOTEROL@47@28@66@@8
1704B0580001@BUPRION RETARD 150mg TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@BUPROPION@165@90@240@@6840
1112C0841185@PROLASTAT 0.5mg TABLETA | CAJA X 8. SIEGFRIED@CABERGOLINA@80@80@80@@144
1104C0851194@CALAMINA 8% LOCION | FRASCO X 120ML. LICOL@CALAMINA@3@0@7@@0
1721C1040001@CALCIFORTE-D 600mg+200ui TABLETA | CAJA X 30. MEDIGEN S.A.S@CALCIO CARBONATO+VITAMINA D@19771@8924@30619@@20
1158C102A1233@BIOCALCIUM D 500mg/200ui POLVO PARA DISOLVER | CAJA X 30 SOBRES. TECNOQUIMICAS@CALCIO CARBONATO+VITAMINA D@45@30@60@@0
155V0524789@KIDCAL TUTI FRUTI 300mg-100u.i./5ml SUSPENSION ORAL | FRASCO X 180ML. FARMA@CALCIO CARBONATO+VITAMINA D@2@1@4@@0
1125C0030861@CALCITRIOL 0.25mcg CAPSULA | CAJA X 30. PROCAPS@CALCITRIOL@5655@6072@5238@@20
1125C0030862@CALCITRIOL 0.50mcg TABLETA | CAJA X 30. PROCAPS@CALCITRIOL@4515@4125@4905@@0
166C0960003@CANDEPREX 8mg TABLETA | CAJA X 30. GARMISCH@CANDESARTAN CILEXETILO@391@76@706@@0
166C0950001@CANDEPREX H  16/12.5mg TABLETA | CAJA X 30. GARMISCH@CANDESARTAN + HIDROCLOROTIAZIDA@30@0@60@@0
1158C0050890@CARBAMAZEPINA RETARD 400mg TABLETA | CAJA X 20. TECNOQUIMICAS@CARBAMAZEPINA@675@730@620@@5030
199C0050882@CARBAMAZEPINA 200mg TABLETA | CAJA X 300. LAPROFF@CARBAMAZEPINA@2940@2115@3765@@112218
1116C0050886@TEGRETOL RETARD 400mg TABLETA | CAJA X 20. NOVARTIS@CARBAMAZEPINA@225@170@280@@0
1116C0050885@TEGRETOL RETARD 200mg TABLETA | CAJA X 20. NOVARTIS@CARBAMAZEPINA@0@100@0@@0
1121C1011229@SICCAFLUID 2.5mg/g UNGUENTO OFTALMICO | FRASCO X 10g. QUIDECA@CARBOMERO 974 P@0@0@1@@783
127C0010849@ZIVICAL 600mg TABLETA | CAJA X 250. BIOQUIFAR@CARBONATO DE CALCIO@1552@2100@1005@@107040
13L0142805@ACTILITIO 300mg TABLETA O CAPSULA | CAJA X 100. ACTIFARMA@CARBONATO DE LITIO@1260@1020@1500@@23381
198C1070001@LAGRIMAX 5+9mgx10ml SOLUCION OFTALMICAS | FRASCO X 1. LAFRANCOL@CARBOXIMETILCELULOSA+GLICERINA@80@11@150@@0
1125C1061253@TEARSOFT 0.5% SOLUCION OFTALMICAS | FRASCO X 15ml. PROCAPS@CARBOXIMETILCELULOSA SODICA@649@544@754@@0
1119C1061251@FREEGEN 1% GEL | TUBO X 15ml. ESPECIALIDADES OFT@CARBOXIMETILCELULOSA SODICA@1@5@0@@0
192C0650001@CARVEDILOL 6.25mg TABLETA | CAJA X 60. LA SANTE@CARVEDILOL@660@580@740@@9
1116C0651143@CORYOL 12.5mg TABLETA | CAJA X 100. NOVARTIS@CARVEDILOL@90@120@60@@0
168C0650002@CARVEDILOL 12.5mg TABLETA | CAJA X 300. GEN-FAR S.A@CARVEDILOL@180@40@320@@0
168C0650003@CARVEDILOL  6.25mg TABLETA | CAJA X 300. GEN-FAR S.A@CARVEDILOL@135@0@270@@0
168C0080907@CEFALEXINA 500mg TABLETA O CAPSULA | CAJA X 300. GEN-FAR S.A@CEFALEXINA@1203@1064@1342@@0
192C0080003@CEFALEXINA 500mg TABLETA O CAPSULA | CAJA X 20. LA SANTE@CEFALEXINA@190@0@381@@25
168C0080906@CEFALEXINA 250mg/5ml SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A@CEFALEXINA@2@4@1@@0
146C0110001@CEFTRIDELT 1g POLVO PARA INYECCION | CAJA X 1. DELTA@CEFTRIAXONA@35@17@53@@16275
1163C0110931@CEFTRIAXONA 1g POLVO PARA INYECCION | CAJA X 10. VITALIS@CEFTRIAXONA@2@3@1@@1
1116C0120001@XORIMAX 500mg TABLETA | CAJA X 10. NOVARTIS@CEFUROXIMA@10@45@0@@0
175C1121276@MIODAR 200mg CAPSULA | CAJA X 10. GARMISCH@CELECOXIB@47@189@0@@210
192C0661151@CETIRIZINA JARABE 5mg/5ml SOLUCION ORAL | FRASCO X 60ml. LA SANTE@CETIRIZINA@29@35@23@@1
1168C0661164@CETIRIZINA 1% GOTAS 10mg SOLUCION ORAL | FRASCO X 15ML. GEN-FAR S.A@CETIRIZINA@11@0@23@@0
168C0661146@CETIRIZINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A@CETIRIZINA@5015@4872@5159@@30
1704C1580001@DOLORO 10mg TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@CICLOBENZAPRINA@165@146@184@@3510
136C1201296@PRIMAX 1% CREMA | TUBO X 20G. BUSSIE@CICLOPIROXOLAMINA@0@2@0@@0
1116C0140951@SANDIMMUN NEORAL 25mg CAPSULA | CAJA X 50. NOVARTIS@CICLOSPORINA@150@170@130@@0
1116C0140952@SANDIMMUN NEORAL 50mg CAPSULA | CAJA X 50. NOVARTIS@CICLOSPORINA@240@260@220@@0
1151C0140955@MODUSIK A 1mg/ml SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@CICLOSPORINA@5@3@8@@32
16C0140946@RESTASIS 0.5mg/ml SOLUCION OFTALMICAS | CAJA X 30. ALLERGAN@CICLOSPORINA@1@2@1@@4
1158C1241318@ANGIOVAN 50mg TABLETA | CAJA X 10. TECNOQUIMICAS@CILOSTAZOL@60@30@90@@0
1DOCC1820001@CINACRED  60mg TABLETA | CAJA X 30. FRESENIUS@CINACALCET CLORHIDRATO@45@0@90@@0
168C1270001@CIPROFIBRATO 100mg TABLETA | CAJA X 20. GEN-FAR S.A@CIPROFIBRATO@795@140@1450@@0
1151C0150001@SOPHIXIN OFTALMICA 3% SOLUCION OFTALMICAS | FRASCO X 5ml. SOPHIA@CIPROFLOXACINA@3@4@2@@312
1125C0150982@OTOSEC 0.3% SOLUCION OTICA | FRASCO X 10ml. SIEGFRIED@CIPROFLOXACINA@2@0@5@@0
198C0150970@CIPROFLOXACINA 500mg TABLETA | CAJA X 100. LAFRANCOL@CIPROFLOXACINA@994@165@1823@@100
1119C0150978@FLOBACT 0.3% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@CIPROFLOXACINA@0@7@0@@0
1119C1281336@FLOBACT D 0.3/0.1% SOLUCION OFTALMICAS | FRASCO X 5ml. ESPECIALIDADES OFT@CIPROFLOXACINA + DEXAMETASONA@4@0@9@@0
1125C120A1298@OTOSEC HC 1%/0.3% SOLUCION OTICA | FRASCO X 10ml. SIEGFRIED@CIPROFLOXACINA + HIDROCORTISONA@1@0@2@@6
1158C120A1299@FIXAMICIN HC 3mg/10mg SOLUCION OTICA | FRASCO X 10ml. TECNOQUIMICAS@CIPROFLOXACINA + HIDROCORTISONA@4@0@8@@31
1416C0160001@ONCOTERONA 50mg TABLETA | CAJA X 50. AVALON PHARMACEUTICAL S.A@CIPROTERONA ACETATO@30@160@0@@0
127C0461120@MACROMYCIN 250mg/5ml SUSPENSION ORAL | FRASCO X 50ML. BIOQUIFAR@CLARITROMICINA@0@2@0@@228
127C0461119@MACROMICYN 500mg TABLETA | CAJA X 250. BIOQUIFAR@CLARITROMICINA@586@453@719@@22590
1168C0191013@CLINDAMICINA 300mg CAPSULA | CAJA X 24. GEN-FAR S.A@CLINDAMICINA@122@182@62@@48
192C0191007@CLINDAMICINA 300mg CAPSULA | CAJA X 24. LA SANTE@CLINDAMICINA@363@353@373@@120
1158C0190001@CLINDAMICINA 100mg OVULO O TABLETA VAGINAL | CAJA X 7. TECNOQUIMICAS@CLINDAMICINA@10@28@0@@282
1125C0191009@CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40g. PROCAPS@CLINDAMICINA@0@4@0@@20
