ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@15@60@0@@0
1429A0910001@LIPOTIC 600mg TABLETA | CAJA X 30. DIABETRICS HEALTHACARE SAS@ACIDO TIOCTICO@510@300@720@@90
165A1000495@DIFFERIN 0.1% GEL | TUBO X 30GR. GALDERMA@ADAPALENE@0@1@0@@0
145A0070116@AGUA ESTERIL 10ml SOLUCION INYECTABLE | CAJA X 50. CORPAUL@AGUA ESTERIL@1@10@0@@0
188A0070516@AGUA OXIGENADA  C X 72 JGB  50%8g SOLUCION TOPICA | FRASCO X 120ml. J.G.B@AGUA OXIGENADA@2@4@1@@0
127A0080123@FINAPAR SACHET 20mg/mlx20ml SUSPENSION ORAL | CAJA X 50. BIOQUIFAR@ALBENDAZOL@48@83@14@@872
127A0080122@FINAPAR 200mg TABLETA | CAJA X 50. BIOQUIFAR@ALBENDAZOL@523@476@571@@8179
192A1670001@ALENDRONATO 70mg TABLETA | CAJA X 4. LA SANTE@ALENDRONATO SODICO@686@628@745@@0
127A1670137@OSTICALCIN 70mg TABLETA | CAJA X 100. BIOQUIFAR@ALENDRONATO SODICO@281@0@563@@4
130A0110002@ALDOMET 250mg TABLETA | CAJA X 30. ASPEN@ALFAMETILDOPA@195@0@390@@180
130A0110001@ALDOMET 500mg TABLETA | CAJA X 30. ASPEN@ALFAMETILDOPA@0@60@0@@0
1144A1120524@XATRAL OD RETARD 10mg TABLETA | CAJA X 30. SANOFI-AVENTIS@ALFUZOSINA@15@30@0@@0
155A1690660@MILPAX CEREZA 2.5g+2.67g SUSPENSION ORAL | FRASCO X 360mL. FARMA@ALGINATO SODIO +SODIO BICARBONATO@1@0@3@@0
198A0130150@ALOPURINOL 100mg TABLETA | CAJA X 100. LAFRANCOL@ALOPURINOL@1050@1417@683@@0
1108A0130153@ALOPURINOL 300mg TABLETA | CAJA X 30. MEMPHIS@ALOPURINOL@468@335@603@@1140
154A0140160@ALPRAZOLAM 0.25mg TABLETA | CAJA X 30. EXPOFARMA@ALPRAZOLAM@1322@600@2045@@0
168A0140002@ALPRAZOLAM 0.25mg TABLETA | CAJA X 30. GEN-FAR S.A@ALPRAZOLAM@50@380@0@@50
168A0140001@ALPRAZOLAM 0.5mg TABLETA | CAJA X 30. GEN-FAR S.A@ALPRAZOLAM@1575@1480@1670@@0
1168A0160174@ACETATO DE ALUMINIO SOBRES ph4.2mg POLVO TOPICO | CAJA X 25. GEN-FAR S.A@ALUMINIO ACETATO@51@16@87@@0
1104A0160173@ACETATO DE ALUMINIO 0.059% LOCION | FRASCO X 120ml. LICOL@ALUMINIO ACETATO@181@228@136@@1
1173A0180185@ACIBIOGEL+SIMETICONA 200+200+20mg/5ml SUSPENSION ORAL | FRASCO X 360ml. GRUNENTHAL@ALUMINIO HIDROXIDO+MAGNESIO HIDROXIDO+SIMETICONA@298@212@385@@0
1115A0190189@ZINTERGIA 100mg CAPSULA | CAJA X 300. NOVAMED@AMANTADINA@30@180@0@@1020
198A1450001@BEVERIX 5mg TABLETA | CAJA X 30. LAFRANCOL@AMBRISENTAN@52@0@105@@0
171A1450001@VOLIBRIS 5mg TABLETA | FRASCO X 30. GLAXO@AMBRISENTAN@15@30@0@@0
199A1150535@AMBROXOL JARABE 15mg/5ml SOLUCION ORAL | FRASCO X 120ML. LAPROFF@AMBROXOL CLORHIDRATO@2@19@0@@0
199A1150536@AMBROXOL JARABE 30mg/5ml SOLUCION ORAL | FRASCO X 120ML. LAPROFF@AMBROXOL CLORHIDRATO@54@25@84@@909
192A0230211@AMIODARONA 200mg TABLETA | CAJA X 10. LA SANTE@AMIODARONA CLORHIDRATO@0@300@0@@0
1168A0240223@AMITRIPTILINA 25mg TABLETA | CAJA X 300. GEN-FAR S.A@AMITRIPTILINA CLORHIDRATO@1570@1161@1979@@37
198A0400316@AMDIPIN 10mg TABLETA | CAJA X 10. LAFRANCOL@AMLODIPINO@22@0@45@@0
168A0400314@AMLODIPINO 5mg TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@1912@2253@1572@@300
168A0400313@AMLODIPINO 10mg TABLETA | CAJA X 300. GEN-FAR S.A@AMLODIPINO@311@354@269@@0
1125A1820001@VARTERAL  10mg+160mg CAPSULA | CAJA X 14. PROCAPS@AMLODIPINO+VALSARTAN@7@42@0@@392
1116A1864703@EXFORGE HCT 10mg/320mg/25mg TABLETA | CAJA X 28. NOVARTIS@AMLODIPINO+VALSARTAN+HIDROCLOR@70@0@140@@0
165A1230553@LOCERYL LACA UNAS 5gr SOLUCION TOPICA | FRASCO X 2,5ML. GALDERMA@AMOROLFINA@0@1@0@@0
168A0250230@AMOXICILINA 250mg SUSPENSION ORAL | FRASCO X 100ML. GEN-FAR S.A@AMOXICILINA@0@5@0@@0
192A0250004@AMOXICILINA 500mg TABLETA O CAPSULA | CAJA X 200. LA SANTE@AMOXICILINA@885@336@1436@@0
192A0250002@AMOXICILINA 250mg/5ml SUSPENSION ORAL | FRASCO X 100ML. LA SANTE@AMOXICILINA@6@4@9@@9
117A0250001@AMOXICILINA 500mg TABLETA O CAPSULA | CAJA X 100. B.C.N MEDICAL@AMOXICILINA@1803@1674@1934@@68800
1116A1260566@CURAM JUNIOR 400+57mg/5ml SUSPENSION ORAL | FRASCO X 70ML. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@1@5@0@@0
1116A1260561@CURAM 500mg/125mg TABLETA | CAJA X 12. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@29@0@59@@5
1SA1A1240001@CURAM  500+125mg TABLETA | CAJA X 12. NOVARTIS@AMOXICILINA+ACIDO CLAVULANICO@7@32@0@@0
192A0260260@AMPICILINA  500mg CAPSULA | CAJA X 200. LA SANTE@AMPICILINA@40@96@0@@2
192A0280267@SULTAMICILINA 375mg TABLETA | CAJA X 10. LA SANTE@AMPICILINA+SULBACTAM@266@317@217@@230
127A0280263@BACMICINE 250mg/5ml SUSPENSION ORAL | FRASCO X 100mL. BIOQUIFAR@AMPICILINA+SULBACTAM@0@4@0@@263
135A1320001@ELIQUIS 2.5mg TABLETA | CAJA X 60. PFIZER@APIXABAN@150@120@180@@180
135A1320002@ELIQUIS 5mg TABLETA | CAJA X 60. PFIZER@APIXABAN@540@0@1080@@300
1145A1300571@ILIMIT 15mg TABLETA | CAJA X 30. SCANDINAVIA@ARIPIPRAZOL@198@345@53@@240
166A0410001@ALPEX ARIPRAX 15mg TABLETA | CAJA X 10. GARMISCH@ARIPIPRAZOL@153@0@308@@0
1312A0380001@HIVATAX 200mg CAPSULA | CAJA X 60. SALUSPHARMA S.A.S.@ATAZANAVIR@60@180@0@@0
1312A0380002@HIVATAX 300mg CAPSULA | CAJA X 30. SALUSPHARMA S.A.S.@ATAZANAVIR@390@390@390@@0
1168A0960015@ATENOLOL  100mg TABLETA | CAJA X 20. GEN-FAR S.A@ATENOLOL@22@40@5@@0
1203A1340001@ATORVAT 20mg TABLETA | CAJA X 300. DUMIAN MEDICAL S.A.S@ATORVASTATINA@2325@30@4620@@1216
150A1340002@ATORVASTATINA 40mg TABLETA | CAJA X 500. ECAR@ATORVASTATINA@3005@5426@585@@262800
150A1340003@ATORVASTATINA 20mg TABLETA | CAJA X 1000. ECAR@ATORVASTATINA@2802@0@5605@@1010
168A1340586@ATORVASTATINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A@ATORVASTATINA@80@160@0@@60
14A0330287@ISOPTO ATROPINA 1% SOLUCION OFTALMICAS | FRASCO X 5mL. ALCON@ATROPINA SULFATO@1@4@0@@13
1N002A0340001@AZATIOPRINA 50mg TABLETA | CAJA X 100. NEXT PHARMA SOURCING S.A.S.@AZATIOPRINA@1215@1028@1402@@0
168A1410626@AZITROMICINA 500mg TABLETA | CAJA X 3. GEN-FAR S.A@AZITROMICINA@214@0@429@@0
168A1410627@AZITROMICINA 200mg/5ml SUSPENSION ORAL | FRASCO X 15ML. GEN-FAR S.A@AZITROMICINA@0@2@0@@0
142A1410625@AZITROMICINA 200mg/5ml SUSPENSION ORAL | FRASCO X 15ML. COASPHARMA@AZITROMICINA@0@3@0@@0
192A1410001@AZITROMICINA 500mg TABLETA | CAJA X 3. LA SANTE@AZITROMICINA@37@149@0@@6
1T004A1420001@DISTENTIA 10mg TABLETA | CAJA X 50. THE LABS SAS@BACLOFENO@652@390@915@@0
1990B0020001@BECLONOSE INH NASAL 50mcg SUSPENSION PARA INHALAR | FRASCO X 22ml. SALUSPHARMA S.A.S.@BECLOMETASONA DIPROPIONATO@62@29@95@@0
140B0020680@NABUMEX BUCAL 50mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. CHALVER@BECLOMETASONA DIPROPIONATO@14@22@7@@0
140B0020681@NABUMEX BUCAL 250mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. CHALVER@BECLOMETASONA DIPROPIONATO@55@54@57@@0
118B0620001@BUTIMERIN SPRAY 25+25+250mg SOLUCION TOPICA | FRASCO X 120mL. BAGO@BENCETONIO CL +  CLOROCRESOL +@1@0@4@@0
1158B0030001@BENZOATO DE BENCILO 30% LOCION | FRASCO X 120ML. TECNOQUIMICAS@BENCILO BENZOATO@3@1@7@@1
192B0220001@BETAHISTINA 16mg TABLETA | CAJA X 20. LA SANTE@BETAHISTINA@353@386@321@@30
1168B0220759@BETAHISTINA 8mg TABLETA | CAJA X 50. GEN-FAR S.A@BETAHISTINA@2592@71@5114@@0
192B0220002@BETAHISTINA 8mg TABLETA | CAJA X 20. LA SANTE@BETAHISTINA@3@0@7@@0
198B0240765@BETAMETASONA  0.05% CREMA | TUBO X 20GR. LAFRANCOL@BETAMETASONA@140@101@179@@4
142B0040001@BETAMETASONA 0.05% CREMA | TUBO X 40GR. COASPHARMA@BETAMETASONA@67@0@135@@0
1125B0050702@BETAMETASONA 8mg/2ml SOLUCION INYECTABLE | CAJA X 100. PROCAPS@BETAMETASONA@1@9@0@@6
1273B0050001@BETAMETASONA 4m/1ml SOLUCION INYECTABLE | CAJA X 100. SICMAFARMA@BETAMETASONA@3@32@0@@3400
168B0040693@BETAMETASONA 0.1% CREMA | TUBO X 40GR. GEN-FAR S.A@BETAMETASONA@37@45@31@@0
154B0070714@EXPOMETIL 0.1mg TABLETA | CAJA X 20. EXPOFARMA@BETAMETILDIGOXINA@18@46@0@@800
1149B0070002@ADS-MYORITMO 0.1mg TABLETA | CAJA X 20. ADS PHARMA@BETAMETILDIGOXINA@68@100@37@@10
154B0070713@ADS MYORITMO GOTAS 0.60mg/ml SOLUCION ORAL | FRASCO X 10mL. EXPOFARMA@BETAMETILDIGOXINA@0@2@0@@0
1149B0070003@ADS MYORITMO GOTAS 0.60mg SOLUCION ORAL | FRASCO X 10ml. ADS PHARMA@BETAMETILDIGOXINA@0@3@0@@0
1309-B0660002@BILAXTEN 20mg TABLETA | CAJA X 30. FAES FARMA@BILASTINA@30@60@0@@180
16B0360787@LUMIGAN 0.3% SOLUCION OFTALMICAS | FRASCO X 3mL. ALLERGAN@BIMATOPROST@3@5@2@@53
16B0440812@LUMIGAN RC 0.01% SOLUCION OFTALMICAS | FRASCO X 3mL. ALLERGAN@BIMATOPROST@2@3@2@@17
1158B0080722@BIPERIDENO 2mg TABLETA | CAJA X 300. TECNOQUIMICAS@BIPERIDENO@930@1260@600@@11060
180B0100726@BISACODILO RETARD 5mg TABLETA | CAJA X 100. HUMAX@BISACODILO@3107@2837@3377@@59490
1109B0380793@CONCORD 1.25mg TABLETA | CAJA X 30. MERCK@BISOPROLOL@37@30@45@@0
168B0380002@BISOPROLOL 2.5mg TABLETA | CAJA X 30. GEN-FAR S.A@BISOPROLOL@581@585@578@@60
168B0380001@BISOPROLOL 5mg TABLETA | CAJA X 30. GEN-FAR S.A@BISOPROLOL@547@420@675@@0
1161D072A1659@NOVATRIX PROTECTOR CUTANEO 50g CREMA | CAJA X 1. VARIOS E IMPORTADOS@BLOQUEADOR SOLAR@0@1@1@@0
1145P0763822@UMBRELLA 50+ SPF 30 CREMA | TUBO X 60g. SCANDINAVIA@BLOQUEADOR SOLAR@0@1@0@@0
1151B0440812@AGGLAD OFTENO 2mg/ml SOLUCION OFTALMICAS | FRASCO X 5ml. SOPHIA@BRIMONIDINA@15@13@17@@3448
1158B0450001@BRIMOLOLL 0.2+0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. TECNOQUIMICAS@BRIMONIDINA + TIMOLOL@25@23@27@@1430
14B0460814@AZOPT 1% SOLUCION OFTALMICAS | FRASCO X 5mL. NOVARTIS@BRINZOLAMIDA@1@3@0@@0
1168B0470816@BROMAZEPAM 6mg TABLETA | CAJA X 10. GEN-FAR S.A@BROMAZEPAM@212@200@225@@0
140B0120001@BROMOCRIPTINA 2.5mg TABLETA | CAJA X 240. CHALVER@BROMOCRIPTINA@167@220@115@@0
1116B0730001@SEEBRI BREEZHALER 50mcg CAPSULA | CAJA X 30. NOVARTIS@BROMURO DE GLICOPIRRONIO@90@60@120@@0
132B0510825@BERODUAL 0.25+0.5mg/ml SOLUCION PARA INHALACION | FRASCO X 20ml. BOEHRINGER@BROMURO DE IPRATROPIO+FENOTEROL@1@2@2@@1
132T0644494@SPIRIVA RESPIMAT 2.5mcg(.005mg) SOLUCION PARA INHALACION | FRASCO X 4ml. BOEHRINGER@BROMURO DE TIOTROPIO@3@1@7@@147
130T0644489@TEROMAR ROTACAPS (REVOLIZER)  18mcg CAPSULA | CAJA X 30. BIOTOSCANA@BROMURO DE TIOTROPIO@3@1@6@@112
140B0550001@INFLABON BUCAL 50mcg SOLUCION PARA INHALACION | FRASCO X 200dosis. CHALVER@BUDESONIDA@0@2@0@@0
173B0540839@B-CORT AEROSOL 200mcgbucal SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GRUNENTHAL@BUDESONIDA@2@1@4@@0
130B0540024@BUDEMAR BUCAL 100mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. BIOTOSCANA@BUDESONIDA@1@4@0@@52
1416B0540001@BUDETEC 200mcg SUSPENSION PARA INHALAR | FRASCO X 200 dosis. AVALON PHARMACEUTICAL S.A@BUDESONIDA@0@0@2@@50
114B0390802@SYMBICORT RAPIHALER PEDIATRICO 80/4.5mcg SUSPENSION PARA INHALAR | CAJA X 1. ASTRA ZENECA@BUDESONIDA + FORMOTEROL@0@2@0@@0
114B0390797@SYMBICORT TURBUHALER ADULTO 320/9ug SUSPENSION PARA INHALAR | FRASCO X 60 DOSIS. ASTRA ZENECA@BUDESONIDA + FORMOTEROL@5@0@11@@0
1115B0390799@AEROVIAL CON INHALADOR 200mcg+6mcg CAPSULA | CAJA X 1. NOVAMED@BUDESONIDA + FORMOTEROL@4@8@1@@216
1G003B0390001@COMPLEBREZ 6mcg/200mcg SUSPENSION PARA INHALAR | FRASCO X 150dosis. GLENMARK PHARMACEUTICALS@BUDESONIDA + FORMOTEROL@46@29@65@@8
140B0390001@BUSTEROL INHALADOR 160+4.5mg SUSPENSION PARA INHALAR | CAJA X 1. CHALVER@BUDESONIDA + FORMOTEROL@3@2@4@@0
1704B0580001@BUPRION RETARD 150mg TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@BUPROPION@157@90@225@@4440
1112C0841185@PROLASTAT 0.5mg TABLETA | CAJA X 8. SIEGFRIED@CABERGOLINA@83@88@79@@144
1104C0851194@CALAMINA 8% LOCION | FRASCO X 120ML. LICOL@CALAMINA@2@1@4@@0
1721C1040001@CALCIFORTE-D 600mg+200ui TABLETA | CAJA X 30. MEDIGEN S.A.S@CALCIO CARBONATO+VITAMINA D@18705@10320@27091@@20
155V0524789@KIDCAL TUTI FRUTI 300mg-100u.i./5ml SUSPENSION ORAL | FRASCO X 180ML. FARMA@CALCIO CARBONATO+VITAMINA D@1@1@2@@0
1125C0030861@CALCITRIOL 0.25mcg CAPSULA | CAJA X 30. PROCAPS@CALCITRIOL@5628@6312@4946@@20
1125C0030862@CALCITRIOL 0.50mcg TABLETA | CAJA X 30. PROCAPS@CALCITRIOL@4256@4365@4148@@0
166C0960003@CANDEPREX 8mg TABLETA | CAJA X 30. GARMISCH@CANDESARTAN CILEXETILO@375@76@674@@0
114C0951221@ATACAND PLUS 32/12.5mg TABLETA | CAJA X 28. ASTRA ZENECA@CANDESARTAN + HIDROCLOROTIAZIDA@14@0@28@@0
166C0950001@CANDEPREX H  16/12.5mg TABLETA | CAJA X 30. GARMISCH@CANDESARTAN + HIDROCLOROTIAZIDA@22@30@15@@0
1158C0050890@CARBAMAZEPINA RETARD 400mg TABLETA | CAJA X 20. TECNOQUIMICAS@CARBAMAZEPINA@637@730@545@@4770
1116C0050885@TEGRETOL RETARD 200mg TABLETA | CAJA X 20. NOVARTIS@CARBAMAZEPINA@17@100@0@@0
1116C0050886@TEGRETOL RETARD 400mg TABLETA | CAJA X 20. NOVARTIS@CARBAMAZEPINA@225@170@280@@0
199C0050882@CARBAMAZEPINA 200mg TABLETA | CAJA X 300. LAPROFF@CARBAMAZEPINA@2925@2175@3675@@83418
127C0010849@ZIVICAL 600mg TABLETA | CAJA X 250. BIOQUIFAR@CARBONATO DE CALCIO@1518@2190@848@@107990
13L0142805@ACTILITIO 300mg TABLETA O CAPSULA | CAJA X 100. ACTIFARMA@CARBONATO DE LITIO@1277@1050@1505@@23581
198C1070001@LAGRIMAX 5+9mgx10ml SOLUCION OFTALMICAS | FRASCO X 1. LAFRANCOL@CARBOXIMETILCELULOSA+GLICERINA@48@22@74@@0
1119C1061251@FREEGEN 1% GEL | TUBO X 15ml. ESPECIALIDADES OFT@CARBOXIMETILCELULOSA SODICA@2@5@0@@0
1125C1061253@TEARSOFT 0.5% SOLUCION OFTALMICAS | FRASCO X 15ml. PROCAPS@CARBOXIMETILCELULOSA SODICA@657@573@743@@0
1116C0651143@CORYOL 12.5mg TABLETA | CAJA X 100. NOVARTIS@CARVEDILOL@30@180@0@@0
192C0650001@CARVEDILOL 6.25mg TABLETA | CAJA X 60. LA SANTE@CARVEDILOL@498@580@418@@9
168C0650003@CARVEDILOL  6.25mg TABLETA | CAJA X 300. GEN-FAR S.A@CARVEDILOL@277@0@555@@0
168C0650002@CARVEDILOL 12.5mg TABLETA | CAJA X 300. GEN-FAR S.A@CARVEDILOL@165@40@290@@0
168C0080906@CEFALEXINA 250mg/5ml SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A@CEFALEXINA@2@4@1@@0
168C0080907@CEFALEXINA 500mg TABLETA O CAPSULA | CAJA X 300. GEN-FAR S.A@CEFALEXINA@702@1105@301@@0
192C0080003@CEFALEXINA 500mg TABLETA O CAPSULA | CAJA X 20. LA SANTE@CEFALEXINA@549@0@1099@@25
146C0110001@CEFTRIDELT 1g POLVO PARA INYECCION | CAJA X 1. DELTA@CEFTRIAXONA@34@17@53@@17997
1163C0110931@CEFTRIAXONA 1g POLVO PARA INYECCION | CAJA X 10. VITALIS@CEFTRIAXONA@1@3@0@@1
1116C0120001@XORIMAX 500mg TABLETA | CAJA X 10. NOVARTIS@CEFUROXIMA@16@45@0@@0
175C1121276@MIODAR 200mg CAPSULA | CAJA X 10. GARMISCH@CELECOXIB@91@189@0@@210
1168C0661164@CETIRIZINA 1% GOTAS 10mg SOLUCION ORAL | FRASCO X 15ML. GEN-FAR S.A@CETIRIZINA@12@0@25@@0
168C0661146@CETIRIZINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A@CETIRIZINA@4754@5122@4387@@30
192C0661151@CETIRIZINA JARABE 5mg/5ml SOLUCION ORAL | FRASCO X 60ml. LA SANTE@CETIRIZINA@29@37@21@@1
1704C1580001@DOLORO 10mg TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@CICLOBENZAPRINA@174@176@173@@960
136C1201296@PRIMAX 1% CREMA | TUBO X 20G. BUSSIE@CICLOPIROXOLAMINA@0@2@0@@0
1116C0140951@SANDIMMUN NEORAL 25mg CAPSULA | CAJA X 50. NOVARTIS@CICLOSPORINA@142@170@115@@0
1116C0140952@SANDIMMUN NEORAL 50mg CAPSULA | CAJA X 50. NOVARTIS@CICLOSPORINA@225@260@190@@0
1116C0140950@SANDIMMUN NEORAL 100mg CAPSULA | CAJA X 50. NOVARTIS@CICLOSPORINA@25@0@50@@0
1116C0140953@SANDIMMUN NEORAL MICROEMULSION 100mg/ml EMULSION | CAJA X 50ml. NOVARTIS@CICLOSPORINA@0@0@1@@0
1151C0140955@MODUSIK A 1mg/ml SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@CICLOSPORINA@4@3@6@@42
16C0140946@RESTASIS 0.5mg/ml SOLUCION OFTALMICAS | CAJA X 30. ALLERGAN@CICLOSPORINA@1@2@2@@4
1158C1241318@ANGIOVAN 50mg TABLETA | CAJA X 10. TECNOQUIMICAS@CILOSTAZOL@90@30@150@@0
1DOCC1820001@CINACRED  60mg TABLETA | CAJA X 30. FRESENIUS@CINACALCET CLORHIDRATO@45@0@90@@0
168C1270001@CIPROFIBRATO 100mg TABLETA | CAJA X 20. GEN-FAR S.A@CIPROFIBRATO@647@170@1125@@0
1119C0150978@FLOBACT 0.3% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@CIPROFLOXACINA@0@7@0@@0
198C0150970@CIPROFLOXACINA 500mg TABLETA | CAJA X 100. LAFRANCOL@CIPROFLOXACINA@910@243@1577@@100
1151C0150001@SOPHIXIN OFTALMICA 3% SOLUCION OFTALMICAS | FRASCO X 5ml. SOPHIA@CIPROFLOXACINA@3@4@3@@315
1119C1281336@FLOBACT D 0.3/0.1% SOLUCION OFTALMICAS | FRASCO X 5ml. ESPECIALIDADES OFT@CIPROFLOXACINA + DEXAMETASONA@5@0@10@@0
1158C120A1299@FIXAMICIN HC 3mg/10mg SOLUCION OTICA | FRASCO X 10ml. TECNOQUIMICAS@CIPROFLOXACINA + HIDROCORTISONA@4@0@9@@31
1416C0160001@ONCOTERONA 50mg TABLETA | CAJA X 50. AVALON PHARMACEUTICAL S.A@CIPROTERONA ACETATO@60@160@0@@0
127C0461120@MACROMYCIN 250mg/5ml SUSPENSION ORAL | FRASCO X 50ML. BIOQUIFAR@CLARITROMICINA@0@2@0@@216
127C0461119@MACROMICYN 500mg TABLETA | CAJA X 250. BIOQUIFAR@CLARITROMICINA@560@473@648@@11340
1168C0191013@CLINDAMICINA 300mg CAPSULA | CAJA X 24. GEN-FAR S.A@CLINDAMICINA@128@182@74@@48
1125C0191009@CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40g. PROCAPS@CLINDAMICINA@0@4@0@@20
192C0191007@CLINDAMICINA 300mg CAPSULA | CAJA X 24. LA SANTE@CLINDAMICINA@382@353@413@@120
1158C0190001@CLINDAMICINA 100mg OVULO O TABLETA VAGINAL | CAJA X 7. TECNOQUIMICAS@CLINDAMICINA@10@28@0@@282
180C1360001@OBAX 10mg TABLETA | CAJA X 20. HUMAX@CLOBAZAM@555@520@590@@11850
1144C1361358@URBADAN 10mg TABLETA | CAJA X 20. SANOFI-AVENTIS@CLOBAZAM@65@120@10@@0
1102C1371371@TRIMICORT 0.05% LOCION | FRASCO X 60ML. PROFMA EU@CLOBETASOL@3@2@6@@0
168C1370001@CLOBETASOL 0.05% CREMA | TUBO X 30GR. GEN-FAR S.A@CLOBETASOL@101@113@89@@1
